Model,Price,Spec
"realme C51 (Carbon Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
"realme C51 (Carbon Black, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11 5G (Glory Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme C53 (Champion Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11 5G (Glory Gold, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme 11 Pro 5G (Astral Black, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme 11 Pro+ 5G (Oasis Green, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme 11 Pro 5G (Astral Black, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme C55 (Rainforest, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C55 (Rainy Night, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme Narzo N53 (Feather Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme 11 5G (Glory Gold, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB
"realme C55 (Rainy Night, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 11 Pro 5G (Astral Black, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme 11 Pro+ 5G (Oasis Green, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme Narzo 60X 5G (Nebula Purple, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo 60X 5G (Stellar Green, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme 11 Pro 5G (Astral Black, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme Narzo 60X 5G (Nebula Purple, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme Narzo 60x 5G (Stellar Green, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM
"realme Narzo N55 (Prime Blue, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo N55 (Prime Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo N55 (Prime Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme Narzo N55 (Prime Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme C67 5G (Sunny Oasis, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme C67 5G (Sunny Oasis, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme C67 5G (Dark Purple, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme 11 Pro 5G (Oasis Green, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme C67 5G (Dark Purple, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme Narzo N53 (Feather Gold, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo N53 (Feather Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme C55 (Rainy Night, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo N55 (Prime Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo N55 (Prime Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme Narzo 60 5G (?Cosmic Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme Narzo 60 5G (Mars Orange, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme Narzo N55 (Prime Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme Narzo 60 5G (Mars Orange, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme GT 5G (Dashing Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme Narzo N53 (Feather Gold, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo 50i Prime (Dark Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme Narzo N53 (Feather Gold, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme Narzo N55 (Prime Blue, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo 60 Pro 5G (Cosmic Black, 1 TB)","₹32,999",12 GB RAM | 1 TB ROM
"realme Narzo 60 Pro 5G (Mars Orange, 256 GB)","₹32,999",12 GB RAM | 256 GB ROM
"realme Narzo 50i Prime (Mint Green, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme Narzo N53 (Feather Gold, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
